"Por aviso do secretário de 1779 se reformou a consulta","206","Partes","LIVRO DE REGISTO de consultas de partes do Conselho Ultramarino. Códice 66 (1756-1758), p. 93","09/03/1757","1757","Rafael Pires PardinhoAntónio Freire de Andrade HenriquesFrancisco Lopes de CarvalhoFernando Jozé Marquez BacalhouDiogo Rangel de Almeyda CastellobrancoAntónio de Azevedo Coutinho","FazendaCoroa","","","Hábitos e tenças","","","Sem resposta","","Sobe","Vicente Ferreira de Souza Capitão da ordenança de pé confirmado por Sua Majestade em uma das companhias do regimento da cidade de Mariana pede ao dito Senhor o hábito de Cristo com tença competente pelo serviço de ouro que meteu em seu nome na Casa da Fundição de Vila Rica em menos de um ano e vai a certidão que se acusa"
"","207","Partes","LIVRO DE REGISTO de consultas de partes do Conselho Ultramarino. Códice 66 (1756-1758), p. 97","16/03/1757","1757","Alexandre Metelo de Sousa MenesesRafael Pires PardinhoFrancisco Lopes de CarvalhoDiogo Rangel de Almeyda CastellobrancoAntónio de Azevedo Coutinho","FazendaCoroa","10/04/1757","","Licença para se transportar ao Reino ou renovação","2","","","","Sobe","Sobre a licença que pede o Bacharel José Pinto Ferreira para vir para este reino com sua mulher e três escravos que tem; e vai a cópia que se acusa"
"Deve satisfazer os suplicante, conservando-o por mais tempo na serventia.","208","Partes","LIVRO DE REGISTO de consultas de partes do Conselho Ultramarino. Códice 66 (1756-1758), p. 155","09/08/1757","1757","Alexandre Metelo de Sousa MenesesFernando Jozé Marquez BacalhouDiogo Rangel de Almeyda CastellobrancoFrancisco Xavier de Assis Pacheco e Sampaio","Fazenda","04/07/1758","Como parece","Mantimentos, ajudas de custo e ordenados (oficiais régios)","2","","","","Sobe","Sobre o que informou José Antônio Freire de Andrade governador interino da capitania das Minas Gerais do requerimento de Constantino da Costa Leite escrivão da fazenda real contos e matrícula da gente de guerra da referida capitania em que pede se lhe satisfaça por aquela provedoria setecentos e quatorze mil quinhentos e sessenta e três réis importância dos traslados que o suplicante fez de todas as ordens, leis, regimentos e alvarás que desde o primeiro daquele governo até o presente se tem expedido para ele e vão os documentos e cópia que se acusa"
"Foi voto vencido Alexandre Metelo1760, Maio, 28CONSULTA do Conselho Ultramarino sobre o requerimento de ManuelJorge Azeredo, capitão-mor da Vila de Pitangui, intendente dos ReaisQuintos e das Guias que vão para a Casa de Fundição, pedindo que lheseja arbitrado o ordenado na proporção do que vence o seu escrivão.Anexo: cartas (cópias), requerimento (cópia).Nº de inventário no catálogo: 6174AHU-Minas Gerais, cx. 76, doc. 11AHU_CU_011, Cx. 76, D. 6301.","209","Avulsos","AHU-Minas Gerais, cx. 76, doc. 11","28/05/1760","1760","Fernando Jozé Marquez BacalhouAntónio Lopes da CostaJoão Soares TavaresFrancisco Xavier de Assis Pacheco e SampaioManoel António da Cunha de SottomayorAlexandre Metelo de Sousa Meneses","","08/06/1760","","Mantimentos, ajudas de custo e ordenados (oficiais régios)","","","","","Baixa","CONSULTA do Conselho Ultramarino sobre o requerimento de ManuelJorge Azeredo, capitão-mor da Vila de Pitangui, intendente dos ReaisQuintos e das Guias que vão para a Casa de Fundição, pedindo que lheseja arbitrado o ordenado na proporção do que vence o seu escrivão."
"[ant. 1757, Março, 1]REQUERIMENTO de Paulo Pereira de Sousa, oficial da Casa da Fundiçãode Vila Rica, solicitando a mercê do Hábito de Cristo.Nº de inventário no catálogo: 5793AHU-Minas Gerais, cx. 71, doc. 38AHU_CU_011, Cx. 71, D. 5946.","210","Partes","LIVRO DE REGISTO de consultas de partes do Conselho Ultramarino. Códice 66 (1756-1758), p. 126","23/05/1757","1757","Rafael Pires PardinhoFernando Jozé Marquez BacalhouAntónio de Azevedo Coutinho","FazendaCoroa","","","Hábitos e tenças","","","Sem resposta","","Sobe","Sobre as mercês que pede Paulo Pereira de Souza em atenção a haver metido na casa da fundição de Vila Rica em cento e quarenta e duas parcelas dez arrobas, duas onças e cinco oitavas de ouro e haver sido o primeiro que pagou o 5º a Sua Majestade e vão as certidões que se acusam"
"","211","Partes","Registro de Consultas de Partes, Códice 66 (1756-1758), p. 165","27/02/1758","1758","Alexandre Metelo de Sousa MenesesRafael Pires PardinhoDiogo Rangel de Almeyda CastellobrancoFrancisco Lopes de CarvalhoFernando Jozé Marquez BacalhouAntónio de Azevedo CoutinhoFrancisco Xavier de Assis Pacheco e Sampaio","Fazenda","23/09/1758","Não há o que deferir","Cumprir-se provisões, ordens, estilos e costumes","1","","","","Sobe","Sobre o requerimento do Bacharel Félix de Azevedo da Fonseca; e vão [os papéis] e documentos que se acusam"
"Ilegível","212","Partes","Registro de Consultas de Partes, Códice 66 (1756-1758), p. 191","13/03/1758","1758","","FazendaCoroa","10/06/1758","","Licença para se transportar ao Reino ou renovação","2","","","","Sobe","Sobre o requerimento de Ignácia Rodrigues Chaves em que pede a Sua Majestade lhe faça mercê conceder licença para se recolher a este reino com seus filhos parar a companhia de seu marido; e vão os documentos que se acusam"
"","213","Indireta","Livro de Registro de ordens de partes, do Conselho Ultramarino, Códice 195 (1765-1776), p. 65","","1766","","","25/04/1766","","Cumprir-se provisões, ordens, estilos e costumes","","","","","",""
"O reverendo bispo de Mariana, Dom Frei Manuel da Cruz, representa a Vossa Majestade, por êste Conselho, em carta de 7 de marco do presente ano que chegando em visita no seu primeiro ano à Vila Rica do Ouro Preto, c mandando ir a sua presença os estatutos e livros das irmandades achou que o doutor provedor daquela comarca tomara de muitos instituída por autoridade de seus antecessores, e seus ministros, que mícrveio na sua ereção contra as determinações de Vossa Majestade e suas reais ordens, tomando por fundamento em umas que não tiveram outra autoridade senão dos vigários da vara, que diz a não podiam ter, em outras que no caso de a terem era dependente da confirmação do prelado a quem deviam recorrer no tempo que os ditos vigários da vara lhe determinaram o que pelo não fazerem ficaram as ditas irmandades secularizadas e em outros que quando pediam os devotos ao prelado provisão de ereção, ou confirmação já se intitulavam por oticiais das irmandades, sendo que o primeiro fundamento nao pode ser atendível pois é inegável que os prelados podem delegar toda a sua jurisdição exceto a proveniente da ordem episcopal, e o costumavam sempre fazer os prelados do Kio de Janeiro, antes da desmembração destes novos bispados, concedendo aos seus regimentos faculdade de erigir irmandades pela grande distância que havia destas minas ao Rio de Janeiro, menos atendível é o segundo fundamento de nao recorrerem os irmãos pela aprovação de ereção e confirmação dos estatutos dentro do triênio preferido pelos ditos ministros eclesiásticos, porquanto além de lhes obstar a distância e ainda nos termos de haver alguma negligência nao podia ser bastante esta razão para se lhes mudar a natureza que ja tinham os tinham os eclesiásticos desde a sua primária instituição por autoridade eclesiástica que nela interveiu pelo que também cessa o último fundamento de que quando se pedia do prehdo confirmação da ercção e estatutos já se intitulavam os devotos por oficiais das irmandades, porque em virtude da faculdade que davam os vigários da vara para a criação das mesmas irmandades é que se elegiam os oficiais, sujeitando se primeiro voluntariamente às autoridades eclesiásticas e uorisso como oficiais das irmandades suplicaram depois ao preado a confirmação de seus estatutos ficando por este modo desde o seu princípio meramente eclesiásticos, maiormente não havendo antes de suas ereçoes com a sobredita autoridade eleições algumas de oficiais nem livros de receita e despesa que era o único princípio por onde poderiam ter a na me a de seculares, no que refletindo os imediatos antecessores do doutor provedor atual declararam em alguns livros por seus despachos que lhes não pertençam algumas irmandades em que o dito ministro tem provido, e de outras desistiram conhecendo que a sua natureza era de eclesiásticos e que o dito doutor provedor desatende, do que resulta grande vexame das partes e grande diminuição do culto divino, tanto que muitas irmandades achou ele reverendo bispo totalmente extintas, por esta causa na dita comarca, e outras quase perdidas, por se verem os oficiais oprimidos com prisões e outras penas pecuniárias a virem de muito, longe trazerem os livros das irmandades e provedoria, e porque o seu intento é evitar contendas e perturbações da república se resolveu a tomar e mandar tomar contes das ditas irmandades em ato de visita sem emolumento algum, ate nova providência de Vossa Majestade que nesta matéria resolverá o que for mais do serviço de Deus e tranquilidade da república à vista dos documentos extraídos dos livros das mesmas irmandades que justificam esta representação, os quais apresentará o seu procurador.Da referida representação se deu vista ao desembargador João Antônio de Oliveira, que serve de procurador da Coroa, e respondeu que esta matéria esta mil vezes decaída, e sempre duvidada pelo eclesiástico, o qual não pode tomar contas a confraria alguma senão proceder a sua autoridade a sua ereção feita pelos seculares que quando estes a erigem ainda que logo exceda a confirmação eclesiástica, ou o prelado, ou seus ministros lhe dêm compromisso, nem por isso a confraria é eclesiástica, ainda que se lhes sujeitassem os leigos ou voluntariamente lhe pedirem confirmação, compromisso ou autoridade, porque no ato primo de se congregarem sem intervenção da autoridade eclesiástica já ficou adquirido direito à jurisdição real, que não podem defraudar os leigos com a sua voluntária sujeição inata, e assim lhe parece se deve responder.Viu também no Conselho uma conta que deu sobre a mesma matéria, e outros excessos da jurisdição eclesiástica o ouvidor da comarca de Vila Rica em carta de 23 de março deste mesmo ano, que sobre as reais mãos de V.M. [...].E sendo ouvido também sôbre a dita conta o mesmo desembargador procurador da coroa, respondeu que parece se deve escrever ao reverendo bispo com expressões mais fortes para que reprima aos seus ministros para que se nao intrometam no que toca à jurisdição real, e que lhe declare que se se não abstiverem de tomar contas que lhes não competem e estão já determinadas não só pela lei, mas individualmente 1 provisões mandará Vossa Majestade retirar e ter com eles aqueles procedimentos contra os que decididamente encontrem as leis, e concordatas, perturbando as jurisdições e aos seus ministros. . Ao mesmo tempo se remeteu da Mesa da Consciência e Ordens deste Conselho outra representação do mesmo revêrendo bispo sôbre a referida matéria, em tudo idêntica a que se refere nesta consulta, por se recolher naquela mesa, pertencer a este tribunal a sua decisão, remetendo-se juntamente os documentos que juntou o procurador do reverendo bispo que também sobem inclusas.. E dando-se de tudo vista ao procurador da fazenda, respondeu que parece se deve recomendar da parte de Vossa Majestade ao reverendo bispo de Mariana observe inteiramente o que determina na provisão de 12 de março de 1744, em que está justamente resoluta esta matéria porque as irmandades em que no ato da ereção não interveio a autoridade do ordinário se não podem nunca reputar eclesiásticas, nem ficar sujeita a jurisdição e visita do bispo mais que naquilo que a lei lhe permite, ainda que depois o mesmo ordinário os confirme lhe dêm compromissos e aprovação e os confrades se lhe sujeitem e as queiram fazer eclesiásticas, e assim entende se deve declarar ao bispo e também que não basta que os vigários do bispo do Rio de Janeiro que assistiam nas minas autorizassem na sua ereção algumas irmandades para estas se dizerem eclesiásticas, porque os ditos vigários eram forâneos que nunca se consideram, nem têm autoridade dos ordinários, e ainda que fossem vigários gerais podia ser duvidoso senão mostrando especial comissão, lhes era concedido este ato de jurisdição graciosa e voluntária. Que o mais que aponta o ouvidor para se acautelar a violencia de que neste particular se queixam contem outra maior, qual é a de se acautelar uma usurpação da jurisdição real, com outra da jurisdição ordinária, eclesiástica, como seria a de se lhe tirarem as irmandades em que se reconhecem as circunstâncias necessárias para na feitura das leis e concordatas se julgarem eclesiásticas, nem para isto basta o dizer-se que as igrejas são das ordens, porque na realidade o nao sao e somente a ordem do Espírito Santo tem o direito do padroado para a prover de párocos seculares, e ainda que o tossem era necessário para se darem as confrarias a dita ordem que precedesse a aprovação e autoridade do mestre da mesma ordem na ereção das ditas confrarias, o que sem duvida nao houve e ultimamente como a questão virá a parar no tato de ter ou não intervido a autoridade para que nesta materia não haja dúvida e contenda que embarace o ouvidor¦em o bispo, será bem se recomende a um e a outro ¥»•«£ tando nos princípios referidos se entrarem em duvida no tempo e forma da autoridade eclesiástica_ea qualqmaJ» irmandades, dêm ambos conta a Vossa Majestade instrmda com os documentos que tiverem para Vossa Majestade esol ver o mais justo, conservando-se o que estiver de posse pedir contas até chegar a devolução.Quanto aos mais excessos que se contém na conta do ouvidor parece lhe deve ordenar que quanto aos pedidores, observe a disposição da lei do Reino e extravagantes que há nesta matéra e não consinta que peçam com provisões ao Bispo mais que os que forem nomeados para os lugares e na feitura que as mesmas leis determinam. Que os mestres de latim também não necessitam de provisões dos bispos [...].Que se deve cuidar em que pela Mesa da Consciência não entenda a jurisdição dos provedores dos bens defunts e ausentes aos resíduos e capelas que lhe não tocam no parecer dele procurador da Fazenda, mas como pode haver naquele tribunal alguma resolução especial sobre esta matéria depois de terminadas as outras acima referidas, que pedem uma prontíssima providencia, será justo que Vossa Magestade mande ouvir a mesa e resolva depois o que for mais justo para se não confundirem as jurisdições.Finalmente que será conveniente recomenda-se ao reverendo bispo que não obrigue nem mande tirar parte herança para sufrágios e observe as resoluções que há nesta matéria, e se lhe pode recomendar também que não obrigue as irmandades contra sua vontade a peitarem-se ao eclesiástico nem nesta parte proceda de forma que se possa diz usurpa a jurisdição real.Ao Conselho parece o mesmo que ao procurador da fazenda e ainda que a maior parte dos ministros entende que esta matéria é do seu expediente, contudo lhe parece justo pô-la na real presença de Vossa Majestade por ser tão grave e porque serão mais eficazes as recomendações que se fizerem ao reverendo Bispo sendo feitas em virtude de uma resolução especial de Vossa Majestade. Lisboa, 13 de novembro de 1750. Penalva, Metelo, Corte Real, Bacalhao, Rangel.","214","Outras capitanias","Documentos históricos. Consultas do Conselho Ultramarino do Rio de Janeiro (Biblioteca Nacional) 94, p. 172-177","13/11/1750","1750","Marquês de Penalva (Estevão de Meneses)Alexandre Metelo de Sousa MenesesTomé Joaquim da Costa Corte RealFernando Jozé Marquez BacalhouDiogo Rangel de Almeyda Castellobranco","FazendaCoroa","28/11/1751","","Jurisdições e precedências (queixas, conflitos, recursos e dúvidas)","2","","","","Sobe","Sobre a representação do Reverendo Bispo de Mariana a respeito da dúvida que ocorre entre a jurisdição eclesiástica e secular no tomar as contas das confrarias daquele bispado e sobre a mesma matéria e outros excessos da jurisdição eclesiástica, e vão a carta do ouvidor e mais documentos que se acusam. "
"","215","Outras capitanias","Registo de Cartas Régias, Provisões e outras ordens para Minas Gerais, do Conselho Ultramarino, Códice 241, p. 358, 359","","1752","","","03/02/1752","","Intendências, Casas de Fundição e capitação (administração)","","","","","",""
"*** Apenas resolução de informação no banco","216","Livro de Registro de ordens de partes, do Conselho Ultramarino, Códice 195 (1765-1776), p. 65Partes","Livro de Registro de Consultas de partes, do Conselho Ultramarino, Códice 67 (1763-1769), p. 45","30/05/1764","1764","Fernando Jozé Marquez BacalhouDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da CostaManoel António da Cunha de Sottomayor","FazendaCoroa","","","Hábitos e tenças","1","","","","Sobe","Sobre as mercês que pede a Sua Majestade Antônio Luís de Carvalho em remuneração do ouro que tem metido na casa da fundição de Vila Rica, na conformidade da Lei de três de Dezembro de 1750, e vão as certidões que se acusam"
"[ant. 1764, Maio, 16]REQUERIMENTO de Antônio da Mota de Magalhães, furriel da Companhiada Nobreza, da Vila do Sabará, solicitando a remuneração do ouro que temdepositado na Casa de Fundição de Vila Rica.Nº de inventário no catálogo: 6682AHU-Minas Gerais, cx. 84, doc. 3AHU_CU_011, Cx. 84, D. 6837.","218","Livro de Registro de ordens de partes, do Conselho Ultramarino, Códice 195 (1765-1776), p. 65Partes","Livro de Registro de Consultas de partes, do Conselho Ultramarino, Códice 67 (1763-1769), p. 46","02/06/1764","1764","Fernando Jozé Marquez BacalhouDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da CostaManoel António da Cunha de SottomayorJoão Soares TavaresFrancisco Xavier de Assis Pacheco e Sampaio","FazendaCoroa","","","Hábitos e tenças","","","Sem resposta","","Sobe","Sobre as mercês que pedia a Sua Majestade Antônio da Malta de Magalhães em remuneração do Ouro que tem metido na Casa de Fundição de Vila Rica na conformidade da lei de três de dezembro de 1750; e vão as certidões que se acusam"
"[ant. 1764, Maio, 16]REQUERIMENTO do alferes Antônio de Sousa de Mesquita, morador deVila Rica, solicitando a remuneração do ouro que tem depositado na Casade Fundição de Vila Rica.Nº de inventário no catálogo: 6680AHU-Minas Gerais, cx. 84, doc. 2AHU_CU_011, Cx. 84, D. 6836.","219","Livro de Registro de ordens de partes, do Conselho Ultramarino, Códice 195 (1765-1776), p. 65Partes","Livro de Registro de Consultas de partes, do Conselho Ultramarino, Códice 67 (1763-1769), p. 46","02/06/1764","1764","Fernando Jozé Marquez BacalhouDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da CostaManoel António da Cunha de SottomayorJoão Soares TavaresFrancisco Xavier de Assis Pacheco e Sampaio","FazendaCoroa","","","Hábitos e tenças","","","Sem resposta","","Sobe","Sobre as mercês que pede Antônio de Souza de Mesquita em remuneração do ouro que tem metido na Casa de Fundição de Vila Rica na conformidade da lei de três de dezembro de 1750 e vão as certidões que se acusam"
"","220","Partes","Livro de Registro de Consultas de partes, do Conselho Ultramarino, Códice 67 (1763-1769), p. 53","23/01/1764","","Alexandre Metelo de Sousa MenesesAntónio Freire de Andrade HenriquesFernando Jozé Marquez BacalhouAntónio Lopes da CostaJoão Soares TavaresFrancisco Xavier de Assis Pacheco e SampaioManoel António da Cunha de Sottomayor","CoroaFazenda","","","Licença para se transportar ao Reino ou renovação","2","","","","","Sobre dar conta o Governo geral que foi das Capitanias do Rio de Janeiro e Minas Gerais a respeito da licença que pretendem Anna Roza Felicia de Valoes e Francisca Clara Peregrina de Jesus, e vão os documentos que se acusam"
